id,cantidad_postes ,latitud,longitud,tipo_lampara,sector_id,descripcion,luminarias_por_poste,capacidad,,,,,,,,,
,1,20.7828652,-86.9523999,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7837258,-86.9519034,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7732066,-86.9598301,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7739765,-86.9592287,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7742952,-86.9589837,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7749392,-86.9585017,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7755565,-86.9580051,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7842073,-86.9515339,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7678317,-86.963945,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7681727,-86.9637048,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7687809,-86.9632371,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7694739,-86.9627286,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7700933,-86.9622517,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.77082,-86.961705,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7712048,-86.9613691,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7716422,-86.9610134,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7722807,-86.9605575,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.772846,-86.9601129,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7759017,-86.9576583,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7762335,-86.9574961,LED ,1,10-Post (Calle),2,180,,,,,,,,,
,1,20.7774353,-86.9566011,LED ,1,10-Post (Calle),2,180,,,,,,,,,
,1,20.7777955,-86.956327,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7784667,-86.9558226,LED ,1,10-Post (Calle),2,180,,,,,,,,,
,1,20.7790569,-86.9553246,LED ,1,10-Post (Calle),2,180,,,,,,,,,
,1,20.7795771,-86.9549229,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7799419,-86.9546682,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7807594,-86.9540289,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7813635,-86.9535534,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7817584,-86.9532402,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.7824425,-86.9527015,LED ,1,10-Post (Calle),2,120,,,,,,,,,
,1,20.76178149,-86.96877512,LED ,2,No regularizado,2,120,,,,,,,,,
,1,20.7533967,-86.97522074,LED ,2,No regularizado,2,120,,,,,,,,,
,1,20.75384221,-86.9748865,LED ,2,No regularizado,2,120,,,,,,,,,
,1,20.75436884,-86.97448741,LED ,2,No regularizado,2,120,,,,,,,,,
,1,20.76125131,-86.96918638,LED ,2,No regularizado,2,120,,,,,,,,,
,1,20.76079155,-86.96955312,LED ,2,No regularizado,2,120,,,,,,,,,
,1,20.76027568,-86.96993499,LED ,2,No regularizado,2,120,,,,,,,,,
,1,20.75978404,-86.97034453,LED ,2,No regularizado,2,120,,,,,,,,,
,1,20.759328,-86.97067229,LED ,2,No regularizado,2,120,,,,,,,,,
,1,20.76239957,-86.96829229,LED ,2,No regularizado,2,120,,,,,,,,,
,1,20.76392296,-86.96718022,LED ,2,No regularizado,2,120,,,,,,,,,
,1,20.76505866,-86.96623955,LED ,2,No regularizado,2,120,,,,,,,,,
,1,20.76670825,-86.96495857,LED ,2,No regularizado,2,120,,,,,,,,,
,1,20.74888008,-86.97870776,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.74797265,-86.97939105,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.74751522,-86.97971564,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.73995914,-86.98569429,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.74040707,-86.98527931,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.74092432,-86.98482784,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.74149062,-86.98438181,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.74201371,-86.98396454,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.74259846,-86.9835208,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.74309489,-86.98312671,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.74703289,-86.98009637,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.74654773,-86.98046717,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.74357731,-86.98275618,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.74409346,-86.98235838,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.74595024,-86.98091975,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.74460871,-86.98194873,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.74516352,-86.98153319,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.74946543,-86.97826395,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.75108064,-86.97699768,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.75052135,-86.97743456,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.75165906,-86.97653713,LED ,3,No regularizado,2,120,,,,,,,,,
,1,20.73620692,-86.99322255,LED ,4,No regularizado,2,120,,,,,,,,,
,1,20.73595047,-86.99384815,LED ,4,No regularizado,2,120,,,,,,,,,
,1,20.73569443,-86.99443728,LED ,4,No regularizado,2,120,,,,,,,,,
